Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminEntersAbsence.dataDriven,Chrome 70.0.3538.110,,2018-11-28 15:45:22,2018-11-28 15:47:53,2m - 30.318s,PASSED
,,,,,,
Test Cases/AdminEntersAbsence.dataDriven,Chrome 70.0.3538.110,,2018-11-28 15:45:23,2018-11-28 15:47:52,2m - 29.871s,PASSED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-28 15:45:23,2018-11-28 15:45:23,0.000s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-28 15:45:23,2018-11-28 15:45:23,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 15:45:23,2018-11-28 15:45:30,6.973s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-28 15:45:30,2018-11-28 15:45:31,1.317s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:45:31,2018-11-28 15:45:36,4.204s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:45:36,2018-11-28 15:45:40,4.136s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:45:40,2018-11-28 15:45:43,3.282s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 15:45:43,2018-11-28 15:45:45,2.151s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-28 15:45:45,2018-11-28 15:45:46,1.078s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:45:46,2018-11-28 15:45:48,2.129s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:45:48,2018-11-28 15:45:55,6.248s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:45:55,2018-11-28 15:46:01,6.175s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:01,2018-11-28 15:46:07,6.178s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:07,2018-11-28 15:46:13,6.139s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:13,2018-11-28 15:46:20,7.444s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:46:20,2018-11-28 15:46:29,8.231s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:46:29,2018-11-28 15:46:37,8.254s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:37,2018-11-28 15:46:43,6.201s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:43,2018-11-28 15:46:49,6.183s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:46:49,2018-11-28 15:46:56,6.189s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:46:56,2018-11-28 15:47:04,8.299s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:47:04,2018-11-28 15:47:12,8.308s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:47:12,2018-11-28 15:47:20,8.301s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-28 15:47:20,2018-11-28 15:47:32,11.241s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:47:32,2018-11-28 15:47:40,8.257s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:47:40,2018-11-28 15:47:46,6.174s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:47:46,2018-11-28 15:47:48,2.131s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:47:48,2018-11-28 15:47:51,2.249s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 15:47:51,2018-11-28 15:47:52,1.973s,PASSED
