Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminEntersAbsence.dataDriven,Chrome 70.0.3538.110,,2018-11-28 15:49:35,2018-11-28 15:52:05,2m - 29.535s,PASSED
,,,,,,
Test Cases/AdminEntersAbsence.dataDriven,Chrome 70.0.3538.110,,2018-11-28 15:49:35,2018-11-28 15:52:05,2m - 29.190s,PASSED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-28 15:49:36,2018-11-28 15:49:36,0.001s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-28 15:49:36,2018-11-28 15:49:36,0.001s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 15:49:36,2018-11-28 15:49:42,6.329s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-28 15:49:42,2018-11-28 15:49:44,1.301s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:49:44,2018-11-28 15:49:48,4.202s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:49:48,2018-11-28 15:49:52,4.085s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:49:52,2018-11-28 15:49:55,3.254s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 15:49:55,2018-11-28 15:49:57,2.156s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-28 15:49:57,2018-11-28 15:49:58,1.098s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:49:58,2018-11-28 15:50:00,2.106s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:00,2018-11-28 15:50:07,6.256s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:07,2018-11-28 15:50:13,6.225s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:13,2018-11-28 15:50:19,6.185s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:19,2018-11-28 15:50:25,6.158s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:25,2018-11-28 15:50:33,7.405s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:50:33,2018-11-28 15:50:41,8.311s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:50:41,2018-11-28 15:50:49,8.182s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:49,2018-11-28 15:50:55,6.154s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:50:55,2018-11-28 15:51:02,6.218s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:51:02,2018-11-28 15:51:08,6.186s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:51:08,2018-11-28 15:51:16,8.330s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:51:16,2018-11-28 15:51:24,8.275s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:51:24,2018-11-28 15:51:33,8.265s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-28 15:51:33,2018-11-28 15:51:44,11.285s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 15:51:44,2018-11-28 15:51:52,8.302s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:51:52,2018-11-28 15:51:58,6.199s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:51:58,2018-11-28 15:52:00,2.094s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 15:52:00,2018-11-28 15:52:03,2.216s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 15:52:03,2018-11-28 15:52:05,1.974s,PASSED
