Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-16 16:16:18,2019-01-16 16:17:39,1m - 20.865s,FAILED
,,,,,,
Test Cases/AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-16 16:16:18,2019-01-16 16:17:37,1m - 18.899s,FAILED
evt = 30,Chrome 71.0.3578.98,,2019-01-16 16:16:18,2019-01-16 16:16:18,0.001s,PASSED
plt = 30,Chrome 71.0.3578.98,,2019-01-16 16:16:18,2019-01-16 16:16:18,0.001s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-16 16:16:18,2019-01-16 16:16:24,5.654s,PASSED
navigateToUrl(url),Chrome 71.0.3578.98,,2019-01-16 16:16:24,2019-01-16 16:16:25,1.173s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_User ID_userid""), userid)",Chrome 71.0.3578.98,,2019-01-16 16:16:25,2019-01-16 16:16:29,4.232s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Password_pwd""), password)",Chrome 71.0.3578.98,,2019-01-16 16:16:29,2019-01-16 16:16:34,4.148s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Select a Language_Submit""))",Chrome 71.0.3578.98,,2019-01-16 16:16:34,2019-01-16 16:16:37,3.229s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-16 16:16:37,2019-01-16 16:16:39,2.149s,PASSED
waitForPageLoad(plt),Chrome 71.0.3578.98,,2019-01-16 16:16:39,2019-01-16 16:16:40,1.043s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Sign Out_PT_NAVBAR""))",Chrome 71.0.3578.98,,2019-01-16 16:16:40,2019-01-16 16:16:42,2.416s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/div_Navigator_grouplet_PTNBPTN""))",Chrome 71.0.3578.98,,2019-01-16 16:16:42,2019-01-16 16:16:49,6.266s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Global Payroll  Absence Mgmt""))",Chrome 71.0.3578.98,,2019-01-16 16:16:49,2019-01-16 16:16:55,6.200s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Payee Data""))",Chrome 71.0.3578.98,,2019-01-16 16:16:55,2019-01-16 16:17:01,6.209s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Maintain Absences""))",Chrome 71.0.3578.98,,2019-01-16 16:17:01,2019-01-16 16:17:37,35.797s,FAILED
