Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TransferFromFTSupportToFTAdmin.balance.dataDriven,Chrome 70.0.3538.102,,2018-11-27 17:04:19,2018-11-27 17:06:41,2m - 22.094s,PASSED
,,,,,,
Test Cases/TransferFromFTSupportToFTAdmin.balance.dataDriven,Chrome 70.0.3538.102,,2018-11-27 17:04:20,2018-11-27 17:06:41,2m - 21.588s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 17:04:20,2018-11-27 17:04:26,6.365s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-27 17:04:26,2018-11-27 17:04:28,1.305s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:04:28,2018-11-27 17:04:32,4.210s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:04:32,2018-11-27 17:04:36,4.165s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:04:36,2018-11-27 17:04:40,3.536s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-27 17:04:40,2018-11-27 17:04:42,2.164s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:04:42,2018-11-27 17:04:44,2.091s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:04:44,2018-11-27 17:04:50,6.238s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:04:50,2018-11-27 17:04:56,6.227s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:04:56,2018-11-27 17:05:03,6.210s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:05:03,2018-11-27 17:05:09,6.202s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:05:09,2018-11-27 17:05:17,7.763s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:05:17,2018-11-27 17:05:25,8.248s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:05:25,2018-11-27 17:05:33,8.205s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:05:33,2018-11-27 17:05:41,8.255s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:05:41,2018-11-27 17:05:47,6.161s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:05:47,2018-11-27 17:05:56,8.238s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:05:56,2018-11-27 17:06:04,8.225s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:06:04,2018-11-27 17:06:12,8.260s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:06:12,2018-11-27 17:06:20,8.284s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:06:20,2018-11-27 17:06:29,8.208s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:06:29,2018-11-27 17:06:35,6.227s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:06:35,2018-11-27 17:06:37,2.113s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:06:37,2018-11-27 17:06:39,2.288s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-27 17:06:39,2018-11-27 17:06:41,1.950s,PASSED
