Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:50:49,2018-11-30 11:53:16,2m - 27.451s,FAILED
,,,,,,
Test Cases/VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:50:49,2018-11-30 11:53:14,2m - 25.172s,FAILED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-30 11:50:49,2018-11-30 11:50:49,0.001s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-30 11:50:49,2018-11-30 11:50:49,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-30 11:50:49,2018-11-30 11:50:55,6.172s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-30 11:50:55,2018-11-30 11:50:57,1.320s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:50:57,2018-11-30 11:51:01,4.225s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:51:01,2018-11-30 11:51:05,4.107s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:05,2018-11-30 11:51:08,3.365s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-30 11:51:08,2018-11-30 11:51:11,2.132s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-30 11:51:11,2018-11-30 11:51:12,1.069s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:12,2018-11-30 11:51:14,2.102s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:14,2018-11-30 11:51:20,6.179s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:20,2018-11-30 11:51:26,6.149s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:26,2018-11-30 11:51:32,6.127s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:32,2018-11-30 11:51:38,6.183s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:38,2018-11-30 11:51:46,7.540s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:51:46,2018-11-30 11:51:54,8.223s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:51:54,2018-11-30 11:52:00,6.223s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:52:00,2018-11-30 11:52:07,6.219s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:52:07,2018-11-30 11:52:13,6.192s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 11:52:13,2018-11-30 11:52:25,12.265s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:52:25,2018-11-30 11:52:33,8.379s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:52:33,2018-11-30 11:52:40,6.169s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:52:40,2018-11-30 11:52:48,8.313s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:52:48,2018-11-30 11:52:56,8.283s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:52:56,2018-11-30 11:53:04,8.226s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:53:04,2018-11-30 11:53:11,6.190s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:53:11,2018-11-30 11:53:14,3.389s,FAILED
