Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 13:34:06,2018-11-30 13:38:30,4m - 24.588s,PASSED
,,,,,,
Test Cases/VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 13:34:06,2018-11-30 13:38:30,4m - 24.212s,PASSED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-30 13:34:07,2018-11-30 13:34:07,0.001s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-30 13:34:07,2018-11-30 13:34:07,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-30 13:34:07,2018-11-30 13:34:13,6.402s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-30 13:34:13,2018-11-30 13:34:14,1.327s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:34:14,2018-11-30 13:34:19,4.208s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:34:19,2018-11-30 13:34:23,4.131s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:23,2018-11-30 13:34:26,3.313s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-30 13:34:26,2018-11-30 13:34:28,2.157s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-30 13:34:28,2018-11-30 13:34:29,1.072s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:29,2018-11-30 13:34:31,2.141s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:31,2018-11-30 13:34:38,6.236s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:38,2018-11-30 13:34:44,6.145s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:44,2018-11-30 13:34:50,6.192s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:50,2018-11-30 13:34:56,6.193s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:34:56,2018-11-30 13:35:04,7.483s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:35:04,2018-11-30 13:35:12,8.199s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:35:12,2018-11-30 13:35:18,6.229s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:35:18,2018-11-30 13:35:24,6.215s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:35:24,2018-11-30 13:35:30,6.185s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 13:35:30,2018-11-30 13:35:43,12.261s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:35:43,2018-11-30 13:35:51,8.471s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:35:51,2018-11-30 13:35:57,6.251s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:35:57,2018-11-30 13:36:06,8.333s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:36:06,2018-11-30 13:36:14,8.357s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:36:14,2018-11-30 13:36:22,8.273s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:22,2018-11-30 13:36:29,6.207s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:29,2018-11-30 13:36:31,2.074s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:31,2018-11-30 13:36:37,6.202s,PASSED
Statement - Try,Chrome 70.0.3538.110,,2018-11-30 13:36:37,2018-11-30 13:36:37,0.002s,PASSED
Statement - Catch (Exception e),Chrome 70.0.3538.110,,2018-11-30 13:36:37,2018-11-30 13:36:43,6.205s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:43,2018-11-30 13:36:49,6.199s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:49,2018-11-30 13:36:56,6.197s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:36:56,2018-11-30 13:37:02,6.215s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:37:02,2018-11-30 13:37:08,6.212s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:37:08,2018-11-30 13:37:15,7.260s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:37:15,2018-11-30 13:37:21,6.224s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:37:21,2018-11-30 13:37:30,8.237s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 13:37:30,2018-11-30 13:37:41,11.207s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:37:41,2018-11-30 13:37:49,8.239s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:37:49,2018-11-30 13:37:57,8.201s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 13:37:57,2018-11-30 13:38:10,12.264s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 13:38:10,2018-11-30 13:38:18,8.209s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:38:18,2018-11-30 13:38:24,6.208s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:38:24,2018-11-30 13:38:26,2.123s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 13:38:26,2018-11-30 13:38:28,2.254s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-30 13:38:28,2018-11-30 13:38:30,2.006s,PASSED
